12766:808,823,819,820,821,822,824
12767:808,823,819,820,821,822,824
12768:808,823,819,820,821,822,824
1399:813,1209,1205,1206,1207,1208,1210
2417:808,823,819,820,821,822,824
8880:4591,823,4226,4227,821,822,4228
9181:4591,823,4226,4227,821,822,4228
4710:813,1209,1205,1206,1207,1208,1210
4718:2065,823,2064,2064,2064,2064,824
7449:2065,823,2064,2064,2064,2064,824
4886:2065,823,2064,2064,2064,2064,824
863:808,823,819,820,821,822,824
11756:808,823,819,820,821,822,824
2460:808,823,819,820,821,822,824
857:808,823,819,820,821,822,824
11802:7053,7044,7052,7048,7048,7047,7043
11804:7053,7044,7052,7048,7048,7047,7043
11806:7053,7044,7052,7048,7048,7047,7043
11808:7053,7044,7052,7048,7048,7047,7043
7158:2561,823,2562,2562,2562,2562,2563
4935:2074,823,2076,2076,2076,2076,2077
1277:808,823,819,820,821,822,824
12335:808,823,1660,1660,1660,1660,1661
4958:808,823,819,820,821,822,824
4959:808,823,819,820,821,822,824
4960:808,823,819,820,821,822,824
4961:808,823,819,820,821,822,824
4747:808,823,819,820,821,822,824
12904:813,1209,1205,1206,1207,1208,1210
11785:4591,823,4226,4227,821,822,4228
11706:3677,823,3680,3680,3680,3680,824
5700:808,823,819,820,821,822,824
11230:808,823,819,820,821,822,824
5680:808,823,819,820,821,822,824
12768:808,823,819,820,821,822,824
9013:813,1209,1205,1206,1207,1208,1210
1434:808,823,819,820,821,822,824
4889:2065,823,2064,2064,2064,2064,824
1231:808,823,819,820,821,822,824
11889:813,1209,1205,1206,1207,1208,1210
4675:813,1209,1205,1206,1207,1208,1210
6908:813,1209,1205,1206,1207,1208,1210
6910:813,1209,1205,1206,1207,1208,1210
6912:813,1209,1205,1206,1207,1208,1210
6914:813,1209,1205,1206,1207,1208,1210
12422:813,1209,1205,1206,1207,1208,1210
11905:813,1209,1205,1206,1207,1208,1210
11907:813,1209,1205,1206,1207,1208,1210
11908:813,1209,1205,1206,1207,1208,1210
12899:813,1209,1205,1206,1207,1208,1210
12900:813,1209,1205,1206,1207,1208,1210
1249:813,1209,1205,1206,1207,1208,1210
853:808,823,819,820,821,822,824
2470:808,823,819,820,821,822,824
10033:3175,3177,3177,3177,3177,3177,3178
11907:813,1209,1205,1206,1207,1208,1210
5696:808,823,819,820,821,822,824
864:808,823,819,820,821,822,824
2415:808,823,819,820,821,822,824
1267:808,823,819,820,821,822,824
1383:813,1209,1205,1206,1207,1208,1210
1353:808,823,819,820,821,822,824
11902:808,823,819,820,821,822,824
10156:4591,823,4226,4227,821,822,4228
843:808,823,819,820,821,822,824
1313:2561,823,2562,2562,2562,2562,2563
12902:813,1209,1205,1206,1207,1208,1210
5668:808,823,819,820,821,822,824
9174:4591,823,4226,4227,821,822,4228
3842:808,823,819,820,821,822,824
1540:808,823,819,820,821,822,824
866:808,823,819,820,821,822,824
12899:813,1209,1205,1206,1207,1208,1210
1359:808,823,819,820,821,822,824
20011:808,823,819,820,821,822,824
11283:808,823,819,820,821,822,824
1195:808,823,819,820,821,822,824
12610:808,823,819,820,821,822,824
12848:1662,823,1663,1663,1663,1663,1664
8850:808,823,819,820,821,822,824
12954:808,823,819,820,821,822,824
2883:808,823,819,820,821,822,824
1301:808,823,819,820,821,822,824
8722:808,823,819,820,821,822,824
11769:808,823,819,820,821,822,824
1197:808,823,819,820,821,822,824
6746:808,823,819,820,821,822,824
849:808,823,819,820,821,822,824
12658:813,1209,1205,1206,1207,1208,1210
1275:808,823,819,820,821,822,824
20014:808,823,819,820,821,822,824
10034:3175,3177,3177,3177,3177,3177,3178
1201:808,823,819,820,821,822,824
751:808,823,819,820,821,822,824
1265:808,823,819,820,821,822,824
1401:813,1209,1205,1206,1207,1208,1210
1357:808,823,819,820,821,822,824
13143:1421,1426,1422,1423,1424,1425,1427
11791:813,1209,1205,1206,1207,1208,1210
3840:808,823,819,820,821,822,824
9084:813,1209,1205,1206,1207,1208,1210
12357:808,823,819,820,821,822,824
1271:808,823,819,820,821,822,824
1395:813,1209,1205,1206,1207,1208,1210
1295:808,823,819,820,821,822,824
4982:2061,823,2060,2060,2060,2060,824
4983:2061,823,2060,2060,2060,2060,824
4984:2061,823,2060,2060,2060,2060,824
4985:2061,823,2060,2060,2060,2060,824
4755:2061,823,2060,2060,2060,2060,824
1191:808,823,819,820,821,822,824
1303:808,823,819,820,821,822,824
1409:813,1209,1205,1206,1207,1208,1210
1397:813,1209,1205,1206,1207,1208,1210
1279:808,823,819,820,821,822,824
2476:808,823,819,820,821,822,824
35:808,823,819,820,821,822,824
2474:808,823,819,820,821,822,824
12829:808,823,819,820,821,822,824
2667:808,823,819,820,821,822,824
10129:808,823,819,820,821,822,824
9703:808,823,819,820,821,822,824
12612:808,823,819,820,821,822,824
3122:808,823,819,820,821,822,824
12373:813,1209,1205,1206,1207,1208,1210
6607:808,823,819,820,821,822,824
1299:808,823,819,820,821,822,824
1419:847,823,819,820,821,822,824
2416:808,823,819,820,821,822,824
4912:813,1209,1205,1206,1207,1208,1210
1273:808,823,819,820,821,822,824
1355:808,823,819,820,821,822,824
9046:813,1209,1205,1206,1207,1208,1210
1283:808,823,819,820,821,822,824
12297:808,823,819,820,821,822,824
3096:808,823,819,820,821,822,824
12377:808,823,819,820,821,822,824
2464:808,823,819,820,821,822,824
8740:808,823,819,820,821,822,824
2402:808,823,819,820,821,822,824
11259:6604,6611,6607,6608,6610,6609,6603
4937:2074,823,2076,2076,2076,2076,2077
12424:808,823,819,820,821,822,824
11920:808,823,819,820,821,822,824
13243:808,823,819,820,821,822,824
12796:813,1209,1205,1206,1207,1208,1210
3101:808,823,819,820,821,822,824
6522:808,823,819,820,821,822,824
6317:808,823,819,820,821,822,824
8841:808,823,819,820,821,822,824
11705:3677,823,3680,3680,3680,3680,824
1311:2561,823,2562,2562,2562,2562,2563
5690:808,823,819,820,821,822,824
8714:808,823,819,820,821,822,824
4217:808,823,819,820,821,822,824
4216:808,823,819,820,821,822,824
4910:813,1209,1205,1206,1207,1208,1210
1389:813,1209,1205,1206,1207,1208,1210
837:4591,823,4226,4227,821,822,4228
3841:808,823,819,820,821,822,824
9705:808,823,819,820,821,822,824
6541:808,823,819,820,821,822,824
1213:808,823,819,820,821,822,824
1205:808,823,819,820,821,822,824
1319:2561,823,2562,2562,2562,2562,2563
13109:808,823,819,820,821,822,824
4984:2061,823,2060,2060,2060,2060,824
19478:7220,7223,7223,7223,7223,7223,7221
19481:7220,7223,7223,7223,7223,7223,7221
20368:7053,7044,7052,7049,7048,7047,7043
20370:7053,7044,7052,7049,7048,7047,7043
20372:7053,7044,7052,7049,7048,7047,7043
20374:7053,7044,7052,7049,7048,7047,7043
20164:7053,7044,7052,7049,7048,7047,7043
20155:2561,823,2562,2562,2562,2562,2563
4084:1461,1468,1468,1467,1467,1467,1467
7671:3677,823,3680,3680,3680,3680,824
7673:3677,823,3680,3680,3680,3680,824
11959:3175,3177,3177,3177,3177,3177,3178
13576:808,823,819,820,821,822,824
13652:808,823,819,820,821,822,824
20779:2911,823,7327,7327,821,822,2322
3204:813,1209,1205,1206,1207,1208,1210
1413:813,1209,1205,1206,1207,1208,1210
3190:813,1209,1205,1206,1207,1208,1210
3192:813,1209,1205,1206,1207,1208,1210
3194:813,1209,1205,1206,1207,1208,1210
3196:813,1209,1205,1206,1207,1208,1210
3198:813,1209,1205,1206,1207,1208,1210
3200:813,1209,1205,1206,1207,1208,1210
3202:813,1209,1205,1206,1207,1208,1210
6599:813,1209,1205,1206,1207,1208,1210
13080:813,1209,1205,1206,1207,1208,1210
13081:813,1209,1205,1206,1207,1208,1210
13082:813,1209,1205,1206,1207,1208,1210
13083:813,1209,1205,1206,1207,1208,1210
13084:813,1209,1205,1206,1207,1208,1210
13085:813,1209,1205,1206,1207,1208,1210
13086:813,1209,1205,1206,1207,1208,1210
13087:813,1209,1205,1206,1207,1208,1210
13088:813,1209,1205,1206,1207,1208,1210
13089:813,1209,1205,1206,1207,1208,1210
13090:813,1209,1205,1206,1207,1208,1210
13090:813,1209,1205,1206,1207,1208,1210
13091:813,1209,1205,1206,1207,1208,1210
13092:813,1209,1205,1206,1207,1208,1210
13093:813,1209,1205,1206,1207,1208,1210
13094:813,1209,1205,1206,1207,1208,1210
13095:813,1209,1205,1206,1207,1208,1210
13096:813,1209,1205,1206,1207,1208,1210
13097:813,1209,1205,1206,1207,1208,1210
13098:813,1209,1205,1206,1207,1208,1210
13099:813,1209,1205,1206,1207,1208,1210
13100:813,1209,1205,1206,1207,1208,1210
13101:813,1209,1205,1206,1207,1208,1210
19912:808,823,1660,1660,1660,1660,1661
19918:808,823,1660,1660,1660,1660,1661
20836:4193,4194,4194,4194,4194,4194,7274
8871:4193,4194,4194,4194,4194,4194,7274
21003:7518,7520,7520,7520,7520,7520,7519
21012:4591,823,4226,4227,821,822,4228
21015:7508,7510,7510,7510,7510,7510,7509
20997:808,823,819,820,821,822,824
20849:808,823,819,820,821,822,824
21255:813,1209,1205,1206,1207,1208,1210
13263:1652,823,3293,3293,3293,3293,2847
13265:3296,823,819,820,821,822,824
13267:3296,823,819,820,821,822,824
13269:3296,823,819,820,821,822,824
13271:3296,823,819,820,821,822,824
11061:808,823,819,820,821,822,824
10887:5869,823,5867,821,822,822,5868
20056:2770,823,2769,820,821,822,2769
21209:813,1209,1205,1206,1207,1208,1210
21028:808,823,819,820,821,822,824
21742:808,823,819,820,821,822,824
20727:808,823,819,820,821,822,824
7437:808,823,819,820,821,822,824
1377:808,823,819,820,821,822,824
20756:2065,823,2064,2064,2064,2064,824
20733:813,1209,1205,1206,1207,1208,1210
20739:813,1209,1205,1206,1207,1208,1210
11789:813,1209,1205,1206,1207,1208,1210
21902:4591,823,4226,4227,821,822,4228
22296:813,1209,1205,1206,1207,1208,1210
22323:813,1209,1205,1206,1207,1208,1210
22481:813,1209,1205,1206,1207,1208,1210
22486:8057,1209,1205,1206,1207,1208,1210
22325:8057,1209,1205,1206,1207,1208,1210
